,physical_part_type,status,predict
0,0,1,1
1,1,1,0
2,0,1,1
3,0,1,1
4,0,1,1
5,1,0,0
6,0,1,1
7,0,1,1
8,1,1,1
9,0,1,1
10,0,1,1
11,1,1,1
12,1,1,1
13,1,1,0
14,0,1,1
15,0,1,1
16,1,1,1
17,0,1,1
18,1,1,1
19,1,1,1
20,0,1,1
21,1,1,1
22,1,1,1
23,1,1,1
24,0,1,1
25,0,1,1
26,1,1,1
27,0,1,1
28,0,1,1
29,0,1,1
30,0,1,1
31,1,1,1
32,1,1,1
33,0,1,1
34,0,1,1
35,0,1,1
36,0,1,1
37,0,1,1
38,0,1,1
39,0,1,1
40,0,1,1
41,1,1,1
42,1,1,1
43,0,1,1
44,0,1,1
45,0,1,1
46,0,1,0
47,1,1,1
48,0,1,1
49,0,1,0
50,0,1,1
51,0,1,1
52,1,1,1
53,0,1,1
54,0,1,1
55,1,1,1
56,0,1,1
57,0,1,1
58,1,1,1
59,1,1,1
60,0,1,1
61,1,1,1
62,1,1,1
63,1,1,1
64,0,1,1
65,0,1,1
66,1,1,1
67,0,1,1
68,0,1,1
69,1,1,1
70,0,1,1
71,1,1,1
72,1,1,0
73,1,1,1
74,0,1,1
75,0,1,1
76,1,1,1
77,1,1,1
78,1,1,1
79,0,1,1
80,0,1,1
81,0,1,1
82,0,1,1
83,1,1,1
84,1,1,1
85,1,1,1
86,0,1,1
87,1,1,1
88,0,1,1
89,1,1,1
90,0,1,0
91,0,0,0
92,0,1,1
93,0,1,1
94,0,1,1
95,1,1,1
96,0,1,1
97,1,1,1
98,1,1,1
99,0,1,1
100,1,1,1
101,1,0,0
102,0,1,1
103,1,1,1
104,1,1,1
105,0,1,1
106,0,1,1
107,0,1,1
108,0,1,1
109,0,1,1
110,1,1,0
111,0,1,1
112,0,1,1
113,0,1,1
114,0,1,1
115,1,1,1
116,1,1,1
117,0,1,1
118,1,0,0
119,0,1,1
120,1,1,1
121,0,1,1
122,0,1,1
123,0,1,1
124,0,1,1
125,0,1,1
126,1,1,1
127,1,1,1
128,0,1,1
129,0,1,1
130,0,1,1
131,1,1,1
132,0,1,1
133,0,1,1
134,0,1,1
135,0,1,1
136,0,1,1
137,0,1,1
138,0,1,1
139,1,1,1
140,0,1,1
141,0,1,1
142,1,1,0
143,0,1,1
